run_id,model_type,imbalance_strategy,n_estimators,max_depth,min_samples_leaf,max_features,smote_k,val_f1,val_roc_auc,val_precision,val_recall,test_f1,test_roc_auc,test_precision,test_recall,learning_rate,subsample,colsample_bytree
6f253040,RF,class_weight,200,6.0,1.0,log2,,0.4382,0.7009,0.3166,0.7113,0.4454,0.7182,0.3268,0.6995,,,
a3e221a2,RF,smote,300,6.0,3.0,sqrt,5.0,0.4081,0.6861,0.2993,0.6408,0.4274,0.7155,0.3237,0.6291,,,
f6e0d7bd,RF,smote,100,6.0,1.0,sqrt,5.0,0.4036,0.6859,0.2977,0.6268,0.4247,0.7137,0.3206,0.6291,,,
c0d15f72,XGBoost,class_weight,300,4.0,,,,0.3879,0.6868,0.2902,0.5845,0.4219,0.6874,0.3265,0.5962,0.05,1.0,1.0
f00bcff1,RF,class_weight,200,10.0,1.0,sqrt,,0.3533,0.6902,0.3073,0.4155,0.4049,0.7063,0.3559,0.4695,,,
12e3f0b5,RF,smote,300,10.0,1.0,log2,5.0,0.326,0.6844,0.2938,0.3662,0.394,0.7087,0.3622,0.4319,,,
1648a92f,RF,smote,100,10.0,3.0,log2,5.0,0.3222,0.6803,0.2834,0.3732,0.3824,0.7078,0.346,0.4272,,,
cbbeb909,XGBoost,class_weight,200,4.0,,,,0.3452,0.6652,0.2825,0.4437,0.3704,0.6719,0.3297,0.4225,0.2,0.8,0.8
bfcd9410,XGBoost,class_weight,200,8.0,,,,0.2821,0.6719,0.2542,0.3169,0.3457,0.6718,0.3238,0.3709,0.05,1.0,0.8
ff1896c8,RF,class_weight,100,15.0,3.0,log2,,0.3178,0.697,0.3534,0.2887,0.3413,0.7074,0.3951,0.3005,,,
02af6608,RF,class_weight,200,,3.0,sqrt,,0.25,0.6997,0.3222,0.2042,0.326,0.7076,0.396,0.277,,,
c7a8da03,XGBoost,class_weight,200,6.0,,,,0.2517,0.6523,0.25,0.2535,0.311,0.6574,0.3171,0.3052,0.2,1.0,0.8
0a1d2b98,RF,smote,300,15.0,1.0,sqrt,5.0,0.2222,0.6872,0.3243,0.169,0.2716,0.7069,0.3964,0.2066,,,
de23c65c,XGBoost,smote,100,8.0,,,5.0,0.1383,0.6755,0.2826,0.0915,0.2365,0.6885,0.4217,0.1643,0.1,0.8,1.0
0c09ecdb,XGBoost,smote,300,8.0,,,5.0,0.1641,0.6611,0.3019,0.1127,0.2164,0.6706,0.3587,0.1549,0.1,0.8,0.8
4da8b26d,XGBoost,smote,200,6.0,,,5.0,0.1596,0.6827,0.3261,0.1056,0.1938,0.6937,0.3684,0.1315,0.1,1.0,0.8
3495b031,XGBoost,smote,300,6.0,,,5.0,0.1064,0.6697,0.2174,0.0704,0.1888,0.6868,0.3699,0.1268,0.1,1.0,1.0
0664901a,XGBoost,smote,200,6.0,,,5.0,0.1505,0.6835,0.3182,0.0986,0.1714,0.6884,0.3582,0.1127,0.1,0.8,0.8
0ae7e8f6,XGBoost,smote,300,6.0,,,5.0,0.1453,0.6825,0.3514,0.0915,0.1673,0.6881,0.371,0.108,0.05,0.8,1.0
e8ad7ecf,XGBoost,smote,100,4.0,,,5.0,0.1695,0.6888,0.4286,0.1056,0.1154,0.7124,0.3191,0.0704,0.1,0.8,0.8
c9ae3420,XGBoost,none,100,6.0,,,,0.0629,0.6868,0.2941,0.0352,0.0972,0.6973,0.3529,0.0563,0.05,1.0,1.0
2b23240e,RF,none,200,,1.0,sqrt,,0.1013,0.6862,0.5,0.0563,0.0596,0.7038,0.3182,0.0329,,,
